Region	Year	Coefficient
Piemonte	2009	38
Piemonte	2010	48
Piemonte	2011	51
Piemonte	2012	53
Piemonte	2013	65
Piemonte	2014	71
Piemonte	2015	75
Piemonte	2016	78
Piemonte	2017	80
Piemonte	2018	84
Piemonte	2019	83
Valle d'Aosta	2009	34
Valle d'Aosta	2010	48
Valle d'Aosta	2011	52
Valle d'Aosta	2012	56
Valle d'Aosta	2013	67
Valle d'Aosta	2014	68
Valle d'Aosta	2015	76
Valle d'Aosta	2016	75
Valle d'Aosta	2017	74
Valle d'Aosta	2018	80
Valle d'Aosta	2019	85
Liguria	2009	39
Liguria	2010	48
Liguria	2011	49
Liguria	2012	57
Liguria	2013	64
Liguria	2014	68
Liguria	2015	75
Liguria	2016	76
Liguria	2017	81
Liguria	2018	85
Liguria	2019	84
Lombardia	2009	43
Lombardia	2010	53
Lombardia	2011	58
Lombardia	2012	61
Lombardia	2013	71
Lombardia	2014	75
Lombardia	2015	78
Lombardia	2016	82
Lombardia	2017	83
Lombardia	2018	86
Lombardia	2019	87
Abruzzo	2009	37
Abruzzo	2010	49
Abruzzo	2011	52
Abruzzo	2012	51
Abruzzo	2013	69
Abruzzo	2014	69
Abruzzo	2015	73
Abruzzo	2016	78
Abruzzo	2017	81
Abruzzo	2018	82
Abruzzo	2019	84
Molise	2009	26
Molise	2010	34
Molise	2011	43
Molise	2012	46
Molise	2013	59
Molise	2014	67
Molise	2015	71
Molise	2016	73
Molise	2017	75
Molise	2018	72
Molise	2019	77
Campania	2009	37
Campania	2010	41
Campania	2011	43
Campania	2012	45
Campania	2013	60
Campania	2014	64
Campania	2015	70
Campania	2016	70
Campania	2017	76
Campania	2018	77
Campania	2019	79
Puglia	2009	29
Puglia	2010	41
Puglia	2011	37
Puglia	2012	49
Puglia	2013	60
Puglia	2014	66
Puglia	2015	68
Puglia	2016	70
Puglia	2017	74
Puglia	2018	77
Puglia	2019	77
Basilicata	2009	26
Basilicata	2010	41
Basilicata	2011	44
Basilicata	2012	43
Basilicata	2013	65
Basilicata	2014	61
Basilicata	2015	68
Basilicata	2016	70
Basilicata	2017	73
Basilicata	2018	78
Basilicata	2019	78
Calabria	2009	26
Calabria	2010	42
Calabria	2011	43
Calabria	2012	46
Calabria	2013	59
Calabria	2014	61
Calabria	2015	65
Calabria	2016	68
Calabria	2017	69
Calabria	2018	73
Calabria	2019	77
Sicilia	2009	34
Sicilia	2010	39
Sicilia	2011	42
Sicilia	2012	49
Sicilia	2013	58
Sicilia	2014	62
Sicilia	2015	65
Sicilia	2016	69
Sicilia	2017	74
Sicilia	2018	74
Sicilia	2019	76
Sardegna	2009	36
Sardegna	2010	54
Sardegna	2011	56
Sardegna	2012	58
Sardegna	2013	70
Sardegna	2014	75
Sardegna	2015	74
Sardegna	2016	79
Sardegna	2017	79
Sardegna	2018	86
Sardegna	2019	84
Aut. Prov. Bolzano	2009	39
Aut. Prov. Bolzano	2010	50
Aut. Prov. Bolzano	2011	55
Aut. Prov. Bolzano	2012	59
Aut. Prov. Bolzano	2013	74
Aut. Prov. Bolzano	2014	79
Aut. Prov. Bolzano	2015	79
Aut. Prov. Bolzano	2016	76
Aut. Prov. Bolzano	2017	80
Aut. Prov. Bolzano	2018	84
Aut. Prov. Bolzano	2019	85
Aut. Prov. Trento	2009	44
Aut. Prov. Trento	2010	57
Aut. Prov. Trento	2011	58
Aut. Prov. Trento	2012	64
Aut. Prov. Trento	2013	71
Aut. Prov. Trento	2014	77
Aut. Prov. Trento	2015	80
Aut. Prov. Trento	2016	82
Aut. Prov. Trento	2017	82
Aut. Prov. Trento	2018	88
Aut. Prov. Trento	2019	91
Veneto	2009	39
Veneto	2010	54
Veneto	2011	55
Veneto	2012	60
Veneto	2013	74
Veneto	2014	73
Veneto	2015	77
Veneto	2016	80
Veneto	2017	81
Veneto	2018	86
Veneto	2019	87
Friuli-Venezia Giulia	2009	43
Friuli-Venezia Giulia	2010	51
Friuli-Venezia Giulia	2011	56
Friuli-Venezia Giulia	2012	59
Friuli-Venezia Giulia	2013	70
Friuli-Venezia Giulia	2014	77
Friuli-Venezia Giulia	2015	79
Friuli-Venezia Giulia	2016	80
Friuli-Venezia Giulia	2017	80
Friuli-Venezia Giulia	2018	82
Friuli-Venezia Giulia	2019	87
Emilia-Romagna	2012	60
Emilia-Romagna	2013	75
Emilia-Romagna	2014	77
Emilia-Romagna	2015	78
Emilia-Romagna	2016	81
Emilia-Romagna	2017	83
Emilia-Romagna	2018	88
Emilia-Romagna	2019	88
Toscana	2009	43
Toscana	2010	54
Toscana	2011	58
Toscana	2012	56
Toscana	2013	72
Toscana	2014	74
Toscana	2015	75
Toscana	2016	79
Toscana	2017	80
Toscana	2018	86
Toscana	2019	86
Umbria	2009	41
Umbria	2010	51
Umbria	2011	53
Umbria	2012	58
Umbria	2013	73
Umbria	2014	71
Umbria	2015	77
Umbria	2016	79
Umbria	2017	79
Umbria	2018	83
Umbria	2019	86
Marche	2012	58
Marche	2013	72
Marche	2014	74
Marche	2015	77
Marche	2016	78
Marche	2017	82
Marche	2018	87
Marche	2019	86
Lazio	2009	45
Lazio	2010	53
Lazio	2011	55
Lazio	2012	58
Lazio	2013	71
Lazio	2014	73
Lazio	2015	78
Lazio	2016	80
Lazio	2017	81
Lazio	2018	85
Lazio	2019	87
Euro Area	2009	57
Euro Area	2010	64
Euro Area	2011	67
Euro Area	2012	72
Euro Area	2013	76
Euro Area	2014	79
Euro Area	2015	80
Euro Area	2016	83
Euro Area	2017	85
Euro Area	2018	86
Euro Area	2019	88
Italy	2009	39
Italy	2010	49
Italy	2011	52
Italy	2012	55
Italy	2013	68
Italy	2014	71
Italy	2015	74
Italy	2016	77
Italy	2017	79
Italy	2018	83
Italy	2019	84
